Ticker,Model,RMSE,MAE,QLIKE,DirAcc,N,rank_RMSE,rank_QLIKE,rank_DirAcc,rank_MAE,composite_score,overall_rank
SPY,HAR_Baseline,0.035247,0.023727,-2.5075,53.61,500,4.0,1.0,2.0,4.0,2.7,2
SPY,HAR_Augmented,0.036392,0.025872,-2.3861,50.79,500,6.0,2.0,5.0,6.0,4.6,5
SPY,GARCH,0.033936,0.022416,-2.3206,47.25,500,3.0,3.0,7.0,3.0,3.8,4
SPY,XGBoost_Baseline,0.033349,0.021829,-2.2265,52.93,500,2.0,4.0,3.0,2.0,2.8,3
SPY,XGBoost_Augmented,0.035607,0.025087,-2.0939,51.66,500,5.0,5.0,4.0,5.0,4.8,6
SPY,HARNet_Baseline,0.033124,0.021604,-2.0288,53.76,500,1.0,6.0,1.0,1.0,2.5,1
SPY,HARNet_Augmented,0.036995,0.026475,-1.8801,47.7,500,7.0,7.0,6.0,7.0,6.8,7
QQQ,HAR_Baseline,0.056091,0.037531,-2.5191,47.47,500,4.0,1.0,6.0,1.0,3.0500000000000003,2
QQQ,HAR_Augmented,0.055825,0.038265,-2.4117,50.2,500,3.0,2.0,2.0,4.0,2.65,1
QQQ,GARCH,0.057592,0.039032,-2.3041,48.33,500,5.0,3.0,5.0,5.0,4.4,5
QQQ,XGBoost_Baseline,0.058671,0.040111,-2.1933,47.12,500,7.0,4.0,7.0,7.0,6.1,7
QQQ,XGBoost_Augmented,0.055753,0.038193,-2.1125,48.93,500,2.0,5.0,4.0,3.0,3.45,4
QQQ,HARNet_Baseline,0.057736,0.039176,-2.0026,52.28,500,6.0,6.0,1.0,6.0,5.0,6
QQQ,HARNet_Augmented,0.055198,0.037638,-1.918,50.11,500,1.0,7.0,3.0,2.0,3.35,3
AAPL,HAR_Baseline,0.086554,0.059034,-2.4945,46.37,500,5.0,1.0,7.0,4.0,4.05,4
AAPL,HAR_Augmented,0.085645,0.059125,-2.3935,47.36,500,4.0,2.0,5.0,5.0,3.75,3
AAPL,GARCH,0.08339,0.05587,-2.3261,53.59,500,2.0,3.0,1.0,1.0,1.9499999999999997,1
AAPL,XGBoost_Baseline,0.088794,0.061274,-2.1721,52.47,500,7.0,4.0,2.0,7.0,5.1,6
AAPL,XGBoost_Augmented,0.083828,0.057308,-2.1117,46.78,500,3.0,5.0,6.0,3.0,4.2,5
AAPL,HARNet_Baseline,0.087105,0.059585,-1.9889,49.52,500,6.0,6.0,4.0,6.0,5.6,7
AAPL,HARNet_Augmented,0.082732,0.056212,-1.9227,49.96,500,1.0,7.0,3.0,2.0,3.35,2
