Ticker,Model,Regime,N,RMSE,MAE,QLIKE
SPY,HAR_base,low,128,0.02692696,0.02531898,-3.231869
SPY,HAR_base,medium,292,0.03045739,0.02476448,-2.925996
SPY,HAR_base,high,80,0.03879625,0.0292302,-2.487978
SPY,HAR_aug,low,128,0.02642232,0.02487319,-3.248015
SPY,HAR_aug,medium,292,0.03016116,0.02482122,-2.931007
SPY,HAR_aug,high,80,0.03913247,0.02940466,-2.480445
SPY,GARCH_base,low,128,0.02741029,0.02546897,-3.237904
SPY,GARCH_base,medium,292,0.03000956,0.02471016,-2.935575
SPY,GARCH_base,high,80,0.0397939,0.0298054,-2.449834
SPY,XGB_base,low,128,0.02630722,0.02473655,-3.25338
SPY,XGB_base,medium,292,0.03030798,0.02483353,-2.925666
SPY,XGB_base,high,80,0.03967047,0.02999253,-2.439911
SPY,XGB_aug,low,128,0.02668181,0.02503796,-3.240408
SPY,XGB_aug,medium,292,0.02996903,0.02443642,-2.936372
SPY,XGB_aug,high,80,0.03929375,0.02969047,-2.464455
SPY,HARNet_base,low,128,0.02606186,0.02440065,-3.25579
SPY,HARNet_base,medium,292,0.02985565,0.02445885,-2.943283
SPY,HARNet_base,high,80,0.03893264,0.02919253,-2.476779
SPY,HARNet_aug,low,128,0.0258893,0.02452557,-3.258063
SPY,HARNet_aug,medium,292,0.03000631,0.02443755,-2.93626
SPY,HARNet_aug,high,80,0.03832288,0.02916122,-2.500242
QQQ,HAR_base,low,76,0.04208829,0.03861643,-2.696696
QQQ,HAR_base,medium,330,0.04691454,0.03882895,-2.442367
QQQ,HAR_base,high,94,0.07728411,0.05653134,-1.707553
QQQ,HAR_aug,low,76,0.0409147,0.03744344,-2.718946
QQQ,HAR_aug,medium,330,0.04761595,0.03986231,-2.420369
QQQ,HAR_aug,high,94,0.0771001,0.05597015,-1.723581
QQQ,GARCH_base,low,76,0.04050185,0.03693074,-2.730972
QQQ,GARCH_base,medium,330,0.0478759,0.03970658,-2.421464
QQQ,GARCH_base,high,94,0.07789364,0.05561896,-1.655461
QQQ,XGB_base,low,76,0.04225952,0.03877976,-2.705682
QQQ,XGB_base,medium,330,0.04766272,0.03951184,-2.423177
QQQ,XGB_base,high,94,0.07648251,0.05511794,-1.745691
QQQ,XGB_aug,low,76,0.04073698,0.03738264,-2.722231
QQQ,XGB_aug,medium,330,0.04793676,0.04000107,-2.415491
QQQ,XGB_aug,high,94,0.07776947,0.05695452,-1.70569
QQQ,HARNet_base,low,76,0.04174739,0.03832654,-2.700295
QQQ,HARNet_base,medium,330,0.04803459,0.04008367,-2.414455
QQQ,HARNet_base,high,94,0.07700167,0.05630333,-1.728477
QQQ,HARNet_aug,low,76,0.04261556,0.03918282,-2.692141
QQQ,HARNet_aug,medium,330,0.04760437,0.03980044,-2.422156
QQQ,HARNet_aug,high,94,0.07642307,0.05572461,-1.753909
AAPL,HAR_base,low,216,0.06645506,0.06015195,-2.240373
AAPL,HAR_base,medium,227,0.09296277,0.06759221,-1.882117
AAPL,HAR_base,high,57,0.21228256,0.09870935,-1.131188
AAPL,HAR_aug,low,216,0.0646883,0.05895451,-2.25805
AAPL,HAR_aug,medium,227,0.0939392,0.06809912,-1.863716
AAPL,HAR_aug,high,57,0.2100465,0.09706872,-1.259231
AAPL,GARCH_base,low,216,0.06570644,0.05925587,-2.257655
AAPL,GARCH_base,medium,227,0.09227251,0.06643388,-1.901383
AAPL,GARCH_base,high,57,0.20975146,0.09981077,-1.254592
AAPL,XGB_base,low,216,0.06521482,0.05960648,-2.255631
AAPL,XGB_base,medium,227,0.0915965,0.06638981,-1.907116
AAPL,XGB_base,high,57,0.21079165,0.09658663,-1.22715
AAPL,XGB_aug,low,216,0.06473401,0.05908413,-2.256815
AAPL,XGB_aug,medium,227,0.09235324,0.06675887,-1.897278
AAPL,XGB_aug,high,57,0.2115844,0.09769244,-1.190001
AAPL,HARNet_base,low,216,0.06474628,0.05888632,-2.260353
AAPL,HARNet_base,medium,227,0.09251706,0.06726005,-1.892579
AAPL,HARNet_base,high,57,0.20994301,0.0958719,-1.263838
AAPL,HARNet_aug,low,216,0.0653072,0.05963226,-2.248796
AAPL,HARNet_aug,medium,227,0.09230717,0.06726474,-1.901696
AAPL,HARNet_aug,high,57,0.2115775,0.09707983,-1.191465
