date,psi_rv_lag_1,psi_rv_lag_5,psi_rv_lag_21,psi_abs_ret_lag1
2018-05-04,0.3715,3.5944,4.3179,0.3715
2018-08-03,0.2405,1.9356,2.3931,0.2405
2018-11-01,0.1614,0.3759,2.031,0.1614
2019-02-05,0.7805,9.2656,16.5636,0.7805
2019-05-07,0.1222,0.3161,3.383,0.1222
2019-08-06,1.6757,1.8869,3.9548,1.6757
2019-11-04,0.3178,2.1763,8.7392,0.3178
2020-02-05,0.1234,1.7979,5.9639,0.1234
2020-05-06,1.2793,8.0885,14.4128,1.2793
2020-08-05,0.3462,0.9843,5.6903,0.3462
2020-11-03,2.3543,8.0893,16.5636,2.3543
2021-02-04,0.5628,4.3442,9.3734,0.5628
2021-05-06,0.2983,2.0681,8.7892,0.2983
2021-08-05,0.2998,3.7612,6.9046,0.2998
2021-11-03,0.0362,2.0466,8.4736,0.0362
2022-02-03,1.9848,2.2188,3.5877,1.9848
2022-05-05,0.8747,7.1236,12.2578,0.8747
2022-08-05,0.6739,9.1179,12.7453,0.6739
2022-11-03,0.4345,5.4746,10.6403,0.4345
2023-02-06,0.3731,5.6133,12.661,0.3731
2023-05-08,0.2665,2.0709,6.8328,0.2665
2023-08-08,0.1334,3.7409,7.2628,0.1334
2023-11-06,0.2213,1.9037,3.7764,0.2213
2024-02-07,0.1643,1.7498,6.9443,0.1643
2024-05-08,0.264,0.4141,1.8698,0.264
2024-08-08,0.1532,1.9415,7.2326,0.1532
2024-11-06,0.0849,0.3562,3.589,0.0849
