ticker,series,lag,lb_stat,pvalue
SPY,r_t,5,58.04948165683533,3.0723921069603856e-11
SPY,r_t,10,220.1454361311501,9.964557427997259e-42
SPY,r_t,20,269.6097184212445,1.2369317501376848e-45
SPY,r_t^2,5,2187.418263097063,0.0
SPY,r_t^2,10,3346.3707003630175,0.0
SPY,r_t^2,20,3940.6829328137956,0.0
QQQ,r_t,5,34.25186716167545,2.1213043548133027e-06
QQQ,r_t,10,141.69722700940522,1.8915351481930527e-25
QQQ,r_t,20,180.04371152778666,9.517870883273493e-28
QQQ,r_t^2,5,1388.0668160348393,5.3026541089897234e-298
QQQ,r_t^2,10,2047.9007984999723,0.0
QQQ,r_t^2,20,2475.934871183273,0.0
AAPL,r_t,5,15.11569801696009,0.009879250199986065
AAPL,r_t,10,76.09742419049384,2.9082736710976262e-12
AAPL,r_t,20,99.75150478291935,1.395389226453741e-12
AAPL,r_t^2,5,614.5696182601537,1.4377941820721652e-130
AAPL,r_t^2,10,1039.7232535844882,5.171922049889715e-217
AAPL,r_t^2,20,1291.7511654819232,1.7276662369202457e-261
